forcing creation of server ID: 45
[06-25-2017 13:11:51.702041][ startup] CONSTRUCTED SERVER
[06-25-2017 13:11:51.702503][ startup] SENDER START
[06-25-2017 13:11:51.702522][ startup] MAIN LOOP START
[06-25-2017 13:11:51.702522][ startup] RECEIVER START
[06-25-2017 13:11:51.702559][ startup] HANDLE RECEIVE START
[06-25-2017 13:11:58.215015][    info] CLIENT CONNECTED: 60
[06-25-2017 13:11:58.216318][    info] LOCAL: 60 {targetlocation, 96}
[06-25-2017 13:11:58.216376][   trace] CREATING LOCAL BUFFER: targetlocation
[06-25-2017 13:12:15.008570][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:12:15.021737][   trace] SENDING ACK targetlocation TO 10.0.0.45 8930
[06-25-2017 13:12:45.174458][    info] CLIENT DISCONNECTED: 60
[06-25-2017 13:12:45.174563][   trace] REMOVING LOCAL BUFFER targetlocation
[06-25-2017 13:19:30.034613][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.034705][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.060263][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.060327][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.081268][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.081343][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.103926][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.103998][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.128890][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.128961][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.153891][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.153969][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.178737][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.178801][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.203910][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.204000][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.228866][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.228961][   error] COULDN'T FIND BUFFER targetlocation
